0 0
1 0.63
2 1.15
3 1.55
4 1.77
5 1.98
6 2.15
7 2.25
8 2.33
9 2.42
10 2.50
20 2.95
30 3.26
40 3.55
50 3.92
60 4.27
70 4.42
80 4.67
90 5.13
98.8 5.43
-1 -0.63
-2 -1.10
-3 -1.45
-4 -1.66
-5 -1.83
-6 -1.92
-7 -2.06
-8 -2.15
-9 -2.25
-10 -2.30
-20 -2.75
-30 -3.05
-40 -3.38
-50 -3.63
-60 -4.02
-70 -4.22
-80 -4.42
-90 -4.88
-98.8 -5.20
