10.0,0.073
11.0,0.081
12.0,0.141
13.0,0.219
14.0,0.304
15.0,0.382
16.0,0.421
17.0,0.462
17.5,0.461
18.0,0.460
19.0,0.445
20.0,0.400
21.0,0.337
22.0,0.265
22.5,0.244
23.0,0.246
23.5,0.286
24.0,0.359
25.0,0.562
26.0,0.760
27.0,0.876
27.5,0.900
28.0,0.904
28.5,0.885
29.0,0.847
30.0,0.690
31.0,0.487
32.0,0.298
33.0,0.182
33.5,0.198
34.0,0.287
35.0,0.570
36.0,0.904
37.0,1.145
37.5,1.217
38.0,1.269
38.5,1.273
39.0,1.257
39.5,1.208
40.0,1.113
41.0,0.851
42.0,0.537
43.0,0.261
43.5,0.184
44.0,0.167
44.5,0.243
45.0,0.391
45.6,0.610
46.0,0.772
47.0,1.126
48.0,1.410
48.5,1.494
49.1,1.535
49.5,1.555
50.0,1.536
50.6,1.470
51.0,1.393
52.0,1.100
53.0,0.760
54.0,0.432
54.5,0.310
55.6,0.318
56.0,0.455
56.5,0.644
57.0,0.841
58.1,1.207
59.0,1.473
60.0,1.670
60.5,1.724
61.0,1.749
61.5,1.736
62.0,1.690
62.5,1.610
63.0,1.495
64.0,1.187
65.0,0.832
65.6,0.648
66.1,0.544
66.7,0.530
67.1,0.584
67.6,0.692
68.0,0.816
69.1,1.201
70.0,1.477
71.0,1.733
72.0,1.892
72.5,1.934
73.1,1.943
73.7,1.913
74.3,1.841
75.0,1.689
76.0,1.418
77.0,1.114
77.6,0.988
78.2,0.907
78.8,0.911
79.7,1.027
80.3,1.189
81.0,1.364
82.0,1.650
83.1,1.880
84.2,0.274
84.8,0.278
85.3,0.281
86.0,0.280
86.5,0.276
87.1,0.267
88.0,0.249
89.0,0.226
90.1,0.209
90.8,0.205
91.5,0.208
91.8,0.212
92.3,0.218
92.7,0.225
93.1,0.234
93.7,0.246
94.2,0.256
94.9,0.272
95.1,0.275
