84,0,132,483
90,13,138,568
96,44,144,648
102,91,150,718
108,154,156,775
114,226,162,818
120,308,168,844
126,395,174,853
180,844,228,297
186,817,234,216
192,772,240,146
198,713,246,85
204,642,252,39
210,561,258,10
216,475,264,0
222,385,270,8
