0,335.5
1,302.1
2,235.3
3,112.6
4,50.10
5,16.72
6,1.674
7,87.71
8,67.10
9,48.95
10,43.13
11,33.27
12,21.05
13,9.120
14,8.275
15,7.974
-15,6.230
-14,7.074
-13,8.107
-12,15.43
-11,42.02
-10,49.42
-9,54.11
-8,57.64
-7,83.68
-6,3.175
-5,15.36
-4,49.12
-3,112.0
-2,183.9
-1,288.7
